";";1;Gilbert Bécaud;Nathalie;TilQ8BIHisw
;2;Michel Fugain;Une belle histoire;u2UhQAhLc2Y
;3;Jacques Dutronc;Il est cinq heures Paris s’éveille;WrKf-a8Z5fc
;4;Les Poppys;Non non rien n’a changé;V9Po8lSIKww
;5;Edith Piaf;Non je ne regrette rien;Q3Kvu6Kgp88
;6;Jacques Brel;Ne me quitte pas;i2wmKcBm4Ik
;7;Gérard Lenorman;La ballade des gens heureux;Wzkz9IABhPk
;8;Françoise Hardy;Tous les garçons et les filles;0aLoezucIzk
;9;Khaled;Aicha;RvK19xgAxSU
;10;Michel Sardou;Les lacs du Connemara;
;11;Michel Delpech;Pour un flirt;l11GyqVu_-o
;12;Yves Montand;La bicyclette;eoHjQs6C4UY
;13;Alderliefste & Liesbeth List & Ramses Shaffy;Laat me/Vivre;Ih5i8lEpaH0
;14;Zaz;Je veux;Tm88QAI8I5A
;15;Julien Clerc;This melody;N0ccL5qS7Ic
;16;Vicky Leandros;Après toi;ZA5KP-WwIuQ
;17;Serge Gainsbourg & Jane Birkin;Je t’aime… moi non plus;k3Fa4lOQfbA
;18;Michel Fugain;Le printemps;HClfgTGiHDs
;19;Dalida;Buenas noches mi amor;pHipTOTNptY
;20;France Gall;Poupée de cire, poupée de son;s5aeeSmkPwQ
;21;Jacques Brel;Amsterdam;n2kkr0e_dTQ
;22;Julien Clerc;Hélène;bagWWB-35oI
;23;Plastic Bertrand;Ça plane pour moi;32SkxLCZz_o
;24;Jacques Brel;Le plat pays;seMFkItmGFs
;25;Patrick Bruel;Casser la voix (live);ztKhOTrchQo
;26;Alizée;Moi… Lolita;P3uhPQZpjFg
;27;Jean Ferrat;La montagne;tkI5wGVjfX8
;28;Johnny Hallyday;Pour moi la vie va commençer;YTJoJRTb0L8
;29;Charles Trenet;La mer;fztkUuunI7g
;30;Kate & Anne McGarrigle;Complainte pour Ste. Cathérine;TUr8MJYAjRk
;31;Adamo;Vous permettez monsieur;O70E5PYved4
;32;France Gall;Ella elle l’a;lgHGU8gqz9U
;33;Frida Boccara;Cent mille chansons;BYRVl13GPD4
;34;Dalida & Alain Delon;Paroles paroles;_ifJapuqYiU
;35;Dalida;Gigi l’amoroso;Fb63wBWFaJ8
;36;Charles Aznavour;La bohème;xzdxyhng1RU
;37;Georges Moustaki;Le métèque;MV8fGf-N06A
;38;Joe Dassin;Les Champs-Elysées;d9V-zUlrhEE
;39;La Caravane Passe;Salad tomate oignon;Lh49fLPhw2I
;40;Noir Désir;Le vent nous portera;NrgcRvBJYBE
;41;In-grid;Tu es foutu;qOGSqC7xds8
;42;Vanessa Paradis;Joe le taxi;Ulay2FvUEd8
;43;Julien Clerc;Venise;UhQnVyz627c
;44;Gérard Lenorman;Voici les clés;Pn_itowbTzs
;45;Desireless;Voyage voyage;6PDmZnG8KsM
;46;Edith Piaf;La vie en rose;kFzViYkZAz4
;47;Yves Montand;Les feuilles mortes;Xo1C6E7jbPw
;48;Wende;Chaque fois;8SNh8EQ3ViQ
;49;Adamo;Tombe la neige;OQKSU6j1-8U
;50;Joe Dassin;L’été Indien;GZqGQl3YF_c
;51;Jacques Brel;Marieke;wfGDpzL9H7Y
;52;Gérard Lenorman;Si j’étais président;
;53;Grace Jones;La vie en rose;s565nXsXTrg
;54;C. Jérôme;C’est moi;3GRaJvvC_5o
;55;Stromae;Alors on danse;7pKrVB5f2W0
;56;Charles Aznavour;La mamma;UVkG9E4I2xo
;57;Julien Clerc;Çe n’est rien;5ft0Hx0O8G4
;58;Gilbert Bécaud;Et maintenant;hmSBAJdie7E
;59;Dave;Dansez maintenant;KqsQ3aV89SE
;60;Julien Clerc;Si on chantait;DxUKvPYFaxo
;61;Lucille Starr;Quand le soleil dit bonjour aux montagnes;aChSCXFFPlQ
;62;Mort Shuman;Le lac majeur;I3n834K3PaQ
;63;Edith Piaf;Milord;vwe3CzWZ4Bg
;64;Kate Ryan;Désenchantée;tmPws7eXcVk
;65;Adamo;C’est ma vie;KjP01gwxNSo
;66;Manau;La tribu de Dana;MI2-w9q_Lk4
;67;Sandra Kim;J’aime la vie;SJKFT0VUyf4
;68;Charles Aznavour;Mes emmerdes;libXP153AlM
;69;Yves Duteil;Prendre un enfant;jcF4UiIx52o
;70;BZN;Mon amour;4J7OeTPEe0A
;71;Carla Bruni;Quelqu’un m’a dit;EC7Re8cczj0
;72;Adamo;Inch Allah;Y05bBznCbd4
;73;Lio;Amoureux solitaires;aL3mho_Au7g
;74;Georges Brassens;Brave Margot;zuxMhzKeozo
;75;Hughes Aufray;Adieu Monsieur le professeur;XdoJA93SMX8
;76;France Gall;Il jouait du piano debout;N6yobV8KiQY
;77;Catherine Ferry;1 2 3;G_9xKxwJV8s
;78;Jacques Brel;Bruxelles;YZETr0cahT8
;79;Julien Clerc;Ma préférence;qTfSP7ljcVE
;80;Zouk Machine;Maldon;BPdrGOFXzGA
;81;Zaz;Le long de la route;XZaI3kVnoeA
;82;Dalida;J’attendrai;kIX4Zo_r1Qk
;83;Les Poppys;Isabelle je t’aime;o618mlIaR7E
;84;Patricia Kaas;Mademoiselle chante le blues;9uWyiFzwYGI
;85;Anne-Marie David;Tu te reconnaitras;ltkPaUBlXnQ
;86;Edith Piaf;Sous le ciel de Paris;kouTi-0csLg
;87;Indochine;J’ai demandé à la lune;KAOmC5qT02w
;88;Charles Aznavour;J’ai vu Paris;aXJ20S1aAcU
;89;Françoise Hardy;Comment te dire adieu;mwhX5V1Gn6w
;90;Adamo;Les filles du bord de mer;fh5oydvwqZU
;91;Captain Gumbo;Allons à Lafayette;6fDBxgm-F9E
;92;Camélia Jordana;Non non non;JswOaaE9X-I
;93;Ben l’Oncle Soul;(Je suis un) Soulman;69ptYXvUo7M
;94;Jo Lemaire & Flouze;Je suis venue te dire que je m’en vais;C9_GpNM_SyQ
;95;Elsa;T’en va pas;TeaKAB-IxOE
;96;Michel Fugain;Ring et ding;BJfmAHjDjMw
;97;Cast Roméo & Juliette;Les rois du monde;LEC8rJZb3o0
;98;Michel Sardou;Une fille aux jeux clairs;dcBPaySVtBw
;99;Dave;Du côté de chez Swann;SzvC1OWCBL4
;100;Christophe Maé;Dingue dingue dingue;Rwv1djaV6Fc
